date_id,date,year,quarter,month,month_name,day,day_of_week,is_weekend
1,2024-01-01,2024,T1,1,Janeiro,1,Segunda-feira,0
2,2024-01-02,2024,T1,1,Janeiro,2,Terça-feira,0
3,2024-01-03,2024,T1,1,Janeiro,3,Quarta-feira,0
4,2024-01-04,2024,T1,1,Janeiro,4,Quinta-feira,0
5,2024-01-05,2024,T1,1,Janeiro,5,Sexta-feira,0
6,2024-01-06,2024,T1,1,Janeiro,6,Sábado,1
7,2024-01-07,2024,T1,1,Janeiro,7,Domingo,1
8,2024-01-08,2024,T1,1,Janeiro,8,Segunda-feira,0
9,2024-01-09,2024,T1,1,Janeiro,9,Terça-feira,0
10,2024-01-10,2024,T1,1,Janeiro,10,Quarta-feira,0
11,2024-01-11,2024,T1,1,Janeiro,11,Quinta-feira,0
12,2024-01-12,2024,T1,1,Janeiro,12,Sexta-feira,0
13,2024-01-13,2024,T1,1,Janeiro,13,Sábado,1
14,2024-01-14,2024,T1,1,Janeiro,14,Domingo,1
15,2024-01-15,2024,T1,1,Janeiro,15,Segunda-feira,0
16,2024-01-16,2024,T1,1,Janeiro,16,Terça-feira,0
17,2024-01-17,2024,T1,1,Janeiro,17,Quarta-feira,0
18,2024-01-18,2024,T1,1,Janeiro,18,Quinta-feira,0
19,2024-01-19,2024,T1,1,Janeiro,19,Sexta-feira,0
20,2024-01-20,2024,T1,1,Janeiro,20,Sábado,1
21,2024-01-21,2024,T1,1,Janeiro,21,Domingo,1
22,2024-01-22,2024,T1,1,Janeiro,22,Segunda-feira,0
23,2024-01-23,2024,T1,1,Janeiro,23,Terça-feira,0
24,2024-01-24,2024,T1,1,Janeiro,24,Quarta-feira,0
25,2024-01-25,2024,T1,1,Janeiro,25,Quinta-feira,0
26,2024-01-26,2024,T1,1,Janeiro,26,Sexta-feira,0
27,2024-01-27,2024,T1,1,Janeiro,27,Sábado,1
28,2024-01-28,2024,T1,1,Janeiro,28,Domingo,1
29,2024-01-29,2024,T1,1,Janeiro,29,Segunda-feira,0
30,2024-01-30,2024,T1,1,Janeiro,30,Terça-feira,0
31,2024-01-31,2024,T1,1,Janeiro,31,Quarta-feira,0
32,2024-02-01,2024,T1,2,Fevereiro,1,Quinta-feira,0
33,2024-02-02,2024,T1,2,Fevereiro,2,Sexta-feira,0
34,2024-02-03,2024,T1,2,Fevereiro,3,Sábado,1
35,2024-02-04,2024,T1,2,Fevereiro,4,Domingo,1
36,2024-02-05,2024,T1,2,Fevereiro,5,Segunda-feira,0
37,2024-02-06,2024,T1,2,Fevereiro,6,Terça-feira,0
38,2024-02-07,2024,T1,2,Fevereiro,7,Quarta-feira,0
39,2024-02-08,2024,T1,2,Fevereiro,8,Quinta-feira,0
40,2024-02-09,2024,T1,2,Fevereiro,9,Sexta-feira,0
41,2024-02-10,2024,T1,2,Fevereiro,10,Sábado,1
42,2024-02-11,2024,T1,2,Fevereiro,11,Domingo,1
43,2024-02-12,2024,T1,2,Fevereiro,12,Segunda-feira,0
44,2024-02-13,2024,T1,2,Fevereiro,13,Terça-feira,0
45,2024-02-14,2024,T1,2,Fevereiro,14,Quarta-feira,0
46,2024-02-15,2024,T1,2,Fevereiro,15,Quinta-feira,0
47,2024-02-16,2024,T1,2,Fevereiro,16,Sexta-feira,0
48,2024-02-17,2024,T1,2,Fevereiro,17,Sábado,1
49,2024-02-18,2024,T1,2,Fevereiro,18,Domingo,1
50,2024-02-19,2024,T1,2,Fevereiro,19,Segunda-feira,0
51,2024-02-20,2024,T1,2,Fevereiro,20,Terça-feira,0
52,2024-02-21,2024,T1,2,Fevereiro,21,Quarta-feira,0
53,2024-02-22,2024,T1,2,Fevereiro,22,Quinta-feira,0
54,2024-02-23,2024,T1,2,Fevereiro,23,Sexta-feira,0
55,2024-02-24,2024,T1,2,Fevereiro,24,Sábado,1
