sale_id,date_id,customer_id,product_id,region,quantity,unit_price,discount_pct
SALE-000001,459,CUST-0005,PROD-0011,Centro-Oeste,6,66.78,0.1
SALE-000002,509,CUST-0019,PROD-0026,Centro-Oeste,1,227.55,0.15
SALE-000003,165,CUST-0030,PROD-0006,Centro-Oeste,6,46.72,0.2
SALE-000004,691,CUST-0010,PROD-0013,Sudeste,2,365.66,0
SALE-000005,558,CUST-0013,PROD-0001,Nordeste,3,265.1,0.1
SALE-000006,392,CUST-0057,PROD-0008,Nordeste,4,44.45,0.1
SALE-000007,76,CUST-0039,PROD-0004,Sudeste,4,245.76,0.05
SALE-000008,599,CUST-0045,PROD-0015,Sudeste,5,349.45,0.05
SALE-000009,449,CUST-0037,PROD-0016,Sudeste,5,293.37,0.15
SALE-000010,641,CUST-0052,PROD-0018,Nordeste,4,235.96,0
SALE-000011,727,CUST-0013,PROD-0024,Centro-Oeste,1,181.31,0.15
SALE-000012,603,CUST-0017,PROD-0005,Sudeste,2,80.09,0.1
SALE-000013,240,CUST-0007,PROD-0009,Norte,6,121.46,0
SALE-000014,186,CUST-0044,PROD-0001,Sul,5,265.1,0
SALE-000015,372,CUST-0059,PROD-0016,Nordeste,3,293.37,0.15
SALE-000016,269,CUST-0040,PROD-0020,Nordeste,4,251.52,0.15
SALE-000017,449,CUST-0015,PROD-0002,Sudeste,3,35.92,0
SALE-000018,120,CUST-0020,PROD-0003,Sul,3,347.07,0.2
SALE-000019,427,CUST-0044,PROD-0023,Nordeste,1,199.57,0
SALE-000020,302,CUST-0028,PROD-0004,Norte,3,245.76,0
SALE-000021,5,CUST-0039,PROD-0012,Centro-Oeste,2,161.79,0
SALE-000022,565,CUST-0052,PROD-0015,Sul,5,349.45,0.2
SALE-000023,244,CUST-0052,PROD-0022,Sudeste,5,116.08,0.2
SALE-000024,516,CUST-0020,PROD-0008,Sudeste,5,44.45,0
SALE-000025,46,CUST-0035,PROD-0016,Sudeste,2,293.37,0.05
SALE-000026,662,CUST-0018,PROD-0001,Norte,4,265.1,0.05
SALE-000027,37,CUST-0025,PROD-0005,Sudeste,5,80.09,0.15
SALE-000028,565,CUST-0047,PROD-0014,Centro-Oeste,6,323.85,0.2
SALE-000029,692,CUST-0056,PROD-0009,Centro-Oeste,6,121.46,0.15
SALE-000030,293,CUST-0017,PROD-0013,Nordeste,6,365.66,0.15
SALE-000031,557,CUST-0045,PROD-0017,Sul,5,123.57,0.1
SALE-000032,62,CUST-0048,PROD-0024,Sudeste,2,181.31,0
SALE-000033,569,CUST-0031,PROD-0012,Norte,6,161.79,0.2
SALE-000034,481,CUST-0015,PROD-0015,Centro-Oeste,3,349.45,0.05
SALE-000035,496,CUST-0037,PROD-0022,Sul,1,116.08,0
SALE-000036,53,CUST-0049,PROD-0009,Sul,4,121.46,0
SALE-000037,162,CUST-0009,PROD-0013,Sul,4,365.66,0
SALE-000038,47,CUST-0038,PROD-0014,Sul,2,323.85,0.15
SALE-000039,492,CUST-0002,PROD-0005,Nordeste,4,80.09,0
SALE-000040,318,CUST-0011,PROD-0003,Sul,3,347.07,0.1
SALE-000041,479,CUST-0040,PROD-0013,Nordeste,3,365.66,0
SALE-000042,419,CUST-0038,PROD-0024,Norte,1,181.31,0
SALE-000043,358,CUST-0043,PROD-0025,Sul,1,64.38,0.15
SALE-000044,329,CUST-0053,PROD-0022,Nordeste,3,116.08,0
SALE-000045,592,CUST-0009,PROD-0010,Centro-Oeste,5,314.09,0.1
SALE-000046,373,CUST-0047,PROD-0019,Norte,4,104.87,0
SALE-000047,694,CUST-0050,PROD-0010,Sul,3,314.09,0.1
SALE-000048,72,CUST-0004,PROD-0007,Sul,6,320.35,0.15
SALE-000049,577,CUST-0028,PROD-0009,Centro-Oeste,3,121.46,0
SALE-000050,143,CUST-0007,PROD-0009,Sudeste,4,121.46,0
SALE-000051,692,CUST-0060,PROD-0002,Sudeste,6,35.92,0.15
SALE-000052,640,CUST-0027,PROD-0021,Nordeste,6,187.64,0.15
SALE-000053,99,CUST-0025,PROD-0002,Norte,1,35.92,0.15
SALE-000054,158,CUST-0026,PROD-0007,Nordeste,6,320.35,0.1
SALE-000055,718,CUST-0020,PROD-0007,Sul,4,320.35,0.05
SALE-000056,594,CUST-0003,PROD-0023,Norte,6,199.57,0.15
SALE-000057,339,CUST-0014,PROD-0014,Sul,1,323.85,0
SALE-000058,100,CUST-0009,PROD-0015,Sul,6,349.45,0.05
SALE-000059,678,CUST-0021,PROD-0001,Sul,1,265.1,0.05
SALE-000060,633,CUST-0029,PROD-0014,Nordeste,5,323.85,0.15
SALE-000061,53,CUST-0041,PROD-0005,Centro-Oeste,1,80.09,0.05
SALE-000062,5,CUST-0016,PROD-0026,Sul,4,227.55,0.15
SALE-000063,494,CUST-0026,PROD-0023,Nordeste,3,199.57,0.15
SALE-000064,64,CUST-0050,PROD-0004,Nordeste,1,245.76,0
SALE-000065,591,CUST-0002,PROD-0015,Norte,3,349.45,0.05
SALE-000066,60,CUST-0003,PROD-0020,Sudeste,2,251.52,0
SALE-000067,420,CUST-0017,PROD-0013,Sul,3,365.66,0
SALE-000068,221,CUST-0047,PROD-0013,Sul,4,365.66,0.2
SALE-000069,231,CUST-0046,PROD-0016,Sudeste,4,293.37,0.2
SALE-000070,459,CUST-0023,PROD-0001,Sul,5,265.1,0.2
SALE-000071,199,CUST-0036,PROD-0014,Centro-Oeste,2,323.85,0
SALE-000072,690,CUST-0056,PROD-0015,Centro-Oeste,5,349.45,0
SALE-000073,66,CUST-0011,PROD-0018,Sudeste,3,235.96,0.05
SALE-000074,139,CUST-0044,PROD-0001,Nordeste,6,265.1,0.05
SALE-000075,427,CUST-0045,PROD-0011,Norte,5,66.78,0.05
SALE-000076,261,CUST-0027,PROD-0004,Sudeste,2,245.76,0.1
SALE-000077,246,CUST-0006,PROD-0021,Centro-Oeste,6,187.64,0
SALE-000078,103,CUST-0046,PROD-0005,Sul,6,80.09,0
SALE-000079,342,CUST-0036,PROD-0009,Centro-Oeste,3,121.46,0.1
SALE-000080,649,CUST-0008,PROD-0004,Norte,3,245.76,0
SALE-000081,285,CUST-0001,PROD-0016,Sul,6,293.37,0.1
SALE-000082,39,CUST-0040,PROD-0008,Norte,6,44.45,0.15
SALE-000083,121,CUST-0060,PROD-0020,Centro-Oeste,5,251.52,0.15
SALE-000084,676,CUST-0040,PROD-0012,Sudeste,4,161.79,0.15
SALE-000085,84,CUST-0057,PROD-0023,Sudeste,6,199.57,0
SALE-000086,668,CUST-0027,PROD-0013,Sudeste,3,365.66,0.05
SALE-000087,257,CUST-0031,PROD-0025,Norte,1,64.38,0.05
SALE-000088,270,CUST-0033,PROD-0015,Sudeste,6,349.45,0.15
SALE-000089,506,CUST-0028,PROD-0021,Norte,6,187.64,0.05
